ID,CLASS,ABILITY_KILLS,ACTIVITY_DURATION,ASSISTS,AVG_SCORE_PER_KILL,AVG_SCORE_PER_LIFE,COMPLETED,DEATHS,EFFICIENCY,EXPERIENCE_TYPE,GRENADE_KILLS,KILLS,KILLS_DEATHS_RATIO,KILLS_DEATHS_ASSISTS_RATIO,MAP_NAME,MELEE_KILLS,MODE,OPPONENT_SCORE,OPPONENTS_DEFEATED,TIME,PRECISION_KILLS,RESULT,SCORE,SUPER_KILLS,TEAM_SCORE,TIME_PLAYED,MEDALS_EARNED,
4569804625,Titan,0,695,3,1.2,1.3846153846153846,true,12,1.5,Valor,1,15,1.25,1.375,Equinox,1,Clash: Quickplay,90,18,2019-08-26 03:34:18.000Z,1,Defeat,18,6,73,685,11,
3758763052,Titan,0,721,10,4.833333333333333,1.9333333333333333,true,14,1.1428571428571428,Valor,0,6,0.42857142857142855,0.7857142857142857,Retribution,1,Control: Quickplay,151,16,2019-03-17 23:17:41.000Z,1,Defeat,29,1,122,718,8,
1944571385,Titan,0,709,5,1.5,0.8823529411764706,true,16,0.9375,Valor,0,10,0.625,0.78125,Legion's Gulch,1,Clash: Quickplay,100,15,2018-07-25 23:46:22.000Z,1,Defeat,15,1,59,709,9,
1944534416,Titan,0,735,6,2.0,3.0,true,7,2.5714285714285716,Valor,0,12,1.7142857142857142,2.142857142857143,Midtown,0,Control: Quickplay,127,18,2018-07-25 23:32:01.000Z,4,Defeat,24,2,111,733,15,
1944497256,Titan,0,659,4,9.0,1.5,true,5,0.8,Valor,0,0,0.0,0.4,The Fortress,0,Control: Quickplay,84,4,2018-07-25 23:18:51.000Z,0,Victory,9,0,151,656,3,
1944463454,Titan,0,645,9,3.3,3.3,true,9,2.111111111111111,Valor,0,10,1.1111111111111112,1.6111111111111112,The Fortress,0,Control: Quickplay,151,19,2018-07-25 23:06:29.000Z,2,Defeat,33,2,134,640,10,
1944431824,Titan,0,634,6,1.375,3.142857142857143,true,6,3.6666666666666665,Valor,0,16,2.6666666666666665,3.1666666666666665,Meltdown,1,Clash: Quickplay,58,22,2018-07-25 22:54:36.000Z,3,Victory,22,3,101,634,19,
1907461476,Titan,0,686,7,2.2142857142857144,2.8181818181818183,true,10,2.1,Valor,0,14,1.4,1.75,Javelin-4,0,Iron Banner Control,125,21,2018-07-15 01:47:50.000Z,1,Defeat,31,5,124,683,14,
1907432738,Titan,0,571,3,1.7272727272727273,1.9,true,9,1.5555555555555556,Valor,1,11,1.2222222222222223,1.3888888888888888,Distant Shore,1,Iron Banner Control,125,14,2018-07-15 01:36:14.000Z,1,Defeat,19,2,65,568,13,
1907409117,Titan,0,549,1,2.076923076923077,4.5,true,5,2.8,Valor,1,13,2.6,2.7,Altar of Flame,0,Iron Banner Control,60,14,2018-07-15 01:25:51.000Z,2,Victory,27,2,126,545,10,
1907061125,Titan,0,593,5,2.5,1.6666666666666667,true,8,1.375,Valor,0,6,0.75,1.0625,Meltdown,0,Iron Banner Control,125,11,2018-07-14 22:53:26.000Z,2,Defeat,15,1,94,590,7,
1906727360,Titan,0,729,3,2.3,1.6428571428571428,true,13,1.0,Valor,0,10,0.7692307692307693,0.8846153846153846,Meltdown,0,Iron Banner Control,113,13,2018-07-14 20:42:49.000Z,0,Victory,23,3,126,724,11,
1799116592,Titan,0,703,7,2.3846153846153846,2.8181818181818183,true,10,2.0,Valor,1,13,1.3,1.65,Distant Shore,2,Supremacy,100,20,2018-06-14 04:17:49.000Z,4,Defeat,31,1,85,702,12,
1799077987,Titan,0,590,3,1.4285714285714286,0.7142857142857143,true,13,0.7692307692307693,Valor,1,7,0.5384615384615384,0.6538461538461539,Midtown,0,Clash: Quickplay,50,10,2018-06-14 04:06:53.000Z,3,Defeat,10,0,28,440,8,
